track,artist,date,est_time,ist_time,iso_time
Interstellar - Main Theme -Trailer Version Extended (2014),The Meridian Studio Ensemble,2024-11-30,2024-11-29 19:51:02.417000-05:00,2024-11-30 06:21:02.417000+05:30,2024-11-30T00:51:02.417Z
Main Title Theme - Westworld,Ramin Djawadi,2024-11-30,2024-11-29 19:52:44.335000-05:00,2024-11-30 06:22:44.335000+05:30,2024-11-30T00:52:44.335Z
Experience,Ludovico Einaudi,2024-11-30,2024-11-29 19:58:39.267000-05:00,2024-11-30 06:28:39.267000+05:30,2024-11-30T00:58:39.267Z
Remember Me (from the series Arcane League of Legends),d4vd,2024-11-30,2024-11-30 00:41:07.783000-05:00,2024-11-30 11:11:07.783000+05:30,2024-11-30T05:41:07.783Z
Come Play (from the series Arcane League of Legends),Stray Kids,2024-11-30,2024-11-30 00:46:00.922000-05:00,2024-11-30 11:16:00.922000+05:30,2024-11-30T05:46:00.922Z
Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae,2024-11-30,2024-11-30 18:05:15.555000-05:00,2024-12-01 04:35:15.555000+05:30,2024-11-30T23:05:15.555Z
Rat Trap,Feed Me,2024-11-30,2024-11-30 18:38:34.196000-05:00,2024-12-01 05:08:34.196000+05:30,2024-11-30T23:38:34.196Z
Renegades,X Ambassadors,2024-11-30,2024-11-30 18:43:46.720000-05:00,2024-12-01 05:13:46.720000+05:30,2024-11-30T23:43:46.720Z
MIDDLE OF THE NIGHT,Elley Duhé,2024-11-30,2024-11-30 18:48:29.146000-05:00,2024-12-01 05:18:29.146000+05:30,2024-11-30T23:48:29.146Z
All Night (feat. Saweetie),IVE,2024-12-01,2024-11-30 20:30:01.844000-05:00,2024-12-01 07:00:01.844000+05:30,2024-12-01T01:30:01.844Z
Escape (feat. Hayla),Kx5,2024-12-01,2024-11-30 20:34:02.776000-05:00,2024-12-01 07:04:02.776000+05:30,2024-12-01T01:34:02.776Z
I Don't Wanna Know,Punctual,2024-12-01,2024-11-30 20:37:19.075000-05:00,2024-12-01 07:07:19.075000+05:30,2024-12-01T01:37:19.075Z
Lost with You,Far Out,2024-12-01,2024-11-30 20:41:26.936000-05:00,2024-12-01 07:11:26.936000+05:30,2024-12-01T01:41:26.936Z
projector,EDEN,2024-12-01,2024-12-01 11:57:23.325000-05:00,2024-12-01 22:27:23.325000+05:30,2024-12-01T16:57:23.325Z
hertz,EDEN,2024-12-01,2024-12-01 12:01:35.604000-05:00,2024-12-01 22:31:35.604000+05:30,2024-12-01T17:01:35.604Z
static,EDEN,2024-12-01,2024-12-01 12:02:19.326000-05:00,2024-12-01 22:32:19.326000+05:30,2024-12-01T17:02:19.326Z
No Lie,Sean Paul,2024-12-01,2024-12-01 12:21:12.031000-05:00,2024-12-01 22:51:12.031000+05:30,2024-12-01T17:21:12.031Z
BALL & CHAIN,Ramzoid,2024-12-01,2024-12-01 16:51:12.137000-05:00,2024-12-02 03:21:12.137000+05:30,2024-12-01T21:51:12.137Z
This Is What You Came For,Calvin Harris,2024-12-01,2024-12-01 16:54:54.718000-05:00,2024-12-02 03:24:54.718000+05:30,2024-12-01T21:54:54.718Z
In the Name of Love,Martin Garrix,2024-12-01,2024-12-01 16:58:10.955000-05:00,2024-12-02 03:28:10.955000+05:30,2024-12-01T21:58:10.955Z
Whiplash,aespa,2024-12-01,2024-12-01 17:05:45.717000-05:00,2024-12-02 03:35:45.717000+05:30,2024-12-01T22:05:45.717Z
To My Youth,BOL4,2024-12-02,2024-12-01 22:24:36.691000-05:00,2024-12-02 08:54:36.691000+05:30,2024-12-02T03:24:36.691Z
All Night (feat. Saweetie),IVE,2024-12-02,2024-12-01 22:47:41.166000-05:00,2024-12-02 09:17:41.166000+05:30,2024-12-02T03:47:41.166Z
Escape (feat. Hayla),Kx5,2024-12-02,2024-12-01 22:51:57.566000-05:00,2024-12-02 09:21:57.566000+05:30,2024-12-02T03:51:57.566Z
Slow Down,Chase Atlantic,2024-12-02,2024-12-01 22:57:38.132000-05:00,2024-12-02 09:27:38.132000+05:30,2024-12-02T03:57:38.132Z
Close To You,Gracie Abrams,2024-12-02,2024-12-01 23:02:09.230000-05:00,2024-12-02 09:32:09.230000+05:30,2024-12-02T04:02:09.230Z
Imaginary Friend,ITZY,2024-12-02,2024-12-01 23:05:32.171000-05:00,2024-12-02 09:35:32.171000+05:30,2024-12-02T04:05:32.171Z
