track,artist,date,est_time,ist_time,iso_time,genre,length_ms
Rain and You,Lee Mujin,2024-11-24,2024-11-23 23:53:09.793000-05:00,2024-11-24 10:23:09.793000+05:30,2024-11-24T04:53:09.793Z,,262.482
여전히 아름다운지,발라드 킹,2024-11-24,2024-11-23 23:57:24.260000-05:00,2024-11-24 10:27:24.260000+05:30,2024-11-24T04:57:24.260Z,,253.939
Superstar,Lee Han Chul,2024-11-24,2024-11-24 00:00:28.747000-05:00,2024-11-24 10:30:28.747000+05:30,2024-11-24T05:00:28.747Z,korean singer-songwriter,184.0
No Longer Mine,Roy Kim,2024-11-24,2024-11-24 00:04:30.904000-05:00,2024-11-24 10:34:30.904000+05:30,2024-11-24T05:04:30.904Z,korean pop,217.016
Love Me Again,SF9,2024-11-24,2024-11-24 00:07:47.857000-05:00,2024-11-24 10:37:47.857000+05:30,2024-11-24T05:07:47.857Z,"k-pop, k-pop boy group",196.49
ONCE AGAIN,WINTER,2024-11-24,2024-11-24 00:10:38.253000-05:00,2024-11-24 10:40:38.253000+05:30,2024-11-24T05:10:38.253Z,k-pop,169.893
Happy Song,MeloMance,2024-11-24,2024-11-24 00:14:35.780000-05:00,2024-11-24 10:44:35.780000+05:30,2024-11-24T05:14:35.780Z,"k-pop, korean pop",237.03
With you,Jimin,2024-11-24,2024-11-24 00:17:58.201000-05:00,2024-11-24 10:47:58.201000+05:30,2024-11-24T05:17:58.201Z,k-pop,201.905
"Our Blues, Our Life",Lim Young Woong,2024-11-24,2024-11-24 00:21:26.081000-05:00,2024-11-24 10:51:26.081000+05:30,2024-11-24T05:21:26.081Z,trot,207.386
Together,Noel,2024-11-24,2024-11-24 00:27:28.292000-05:00,2024-11-24 10:57:28.292000+05:30,2024-11-24T05:27:28.292Z,korean pop,272.144
Empty Space,Lim Seung Beom,2024-11-24,2024-11-24 17:21:34.611000-05:00,2024-11-25 03:51:34.611000+05:30,2024-11-24T22:21:34.611Z,korean soundtrack,239.108
Spring's Melody,Torby Brand,2024-11-24,2024-11-24 17:24:02.207000-05:00,2024-11-25 03:54:02.207000+05:30,2024-11-24T22:24:02.207Z,anime piano,147.079
"Good Luck, Babe!",Chappell Roan,2024-11-24,2024-11-24 17:32:12.090000-05:00,2024-11-25 04:02:12.090000+05:30,2024-11-24T22:32:12.090Z,indie pop,218.423
Close To You,Gracie Abrams,2024-11-24,2024-11-24 17:35:58.542000-05:00,2024-11-25 04:05:58.542000+05:30,2024-11-24T22:35:58.542Z,alt z,225.973
in the dark,Bring Me The Horizon,2024-11-24,2024-11-24 18:01:39.517000-05:00,2024-11-25 04:31:39.517000+05:30,2024-11-24T23:01:39.517Z,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",271.186
Payphone,Maroon 5,2024-11-24,2024-11-24 18:05:31.174000-05:00,2024-11-25 04:35:31.174000+05:30,2024-11-24T23:05:31.174Z,pop,231.173
Your Apartment,Wallows,2024-11-25,2024-11-24 19:28:17.928000-05:00,2024-11-25 05:58:17.928000+05:30,2024-11-25T00:28:17.928Z,pov: indie,198.707
"스물다섯, 스물하나",JAURIM,2024-11-25,2024-11-24 19:41:15.195000-05:00,2024-11-25 06:11:15.195000+05:30,2024-11-25T00:41:15.195Z,"k-indie, k-rock",284.72
Let Her Go,Passenger,2024-11-25,2024-11-24 19:48:42.239000-05:00,2024-11-25 06:18:42.239000+05:30,2024-11-25T00:48:42.239Z,"folk-pop, neo mellow",252.733
Sci-Fi,EDEN,2024-11-25,2024-11-24 23:40:20.774000-05:00,2024-11-25 10:10:20.774000+05:30,2024-11-25T04:40:20.774Z,indie poptimism,176.595
Backslide,Twenty One Pilots,2024-11-25,2024-11-24 23:43:38.342000-05:00,2024-11-25 10:13:38.342000+05:30,2024-11-25T04:43:38.342Z,"modern rock, pop, pov: indie, rock",180.0
Overcompensate,Twenty One Pilots,2024-11-25,2024-11-24 23:47:34.936000-05:00,2024-11-25 10:17:34.936000+05:30,2024-11-25T04:47:34.936Z,"modern rock, pop, pov: indie, rock",236.0
End of Beginning,Djo,2024-11-25,2024-11-24 23:52:59.065000-05:00,2024-11-25 10:22:59.065000+05:30,2024-11-25T04:52:59.065Z,"pov: indie, psychedelic pop",159.245
Reflections,The Neighbourhood,2024-11-25,2024-11-24 23:57:03.543000-05:00,2024-11-25 10:27:03.543000+05:30,2024-11-25T04:57:03.543Z,"modern alternative rock, modern rock, pop",244.013
It's not fair,Kenya Grace,2024-11-25,2024-11-24 23:59:46.338000-05:00,2024-11-25 10:29:46.338000+05:30,2024-11-25T04:59:46.338Z,singer-songwriter pop,162.253
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,2024-11-25,2024-11-25 00:03:55.263000-05:00,2024-11-25 10:33:55.263000+05:30,2024-11-25T05:03:55.263Z,"electro, filter house, rock",248.413
The Birds Pt. 1,The Weeknd,2024-11-25,2024-11-25 00:13:35.182000-05:00,2024-11-25 10:43:35.182000+05:30,2024-11-25T05:13:35.182Z,"canadian contemporary r&b, canadian pop, pop",214.186
How to Save a Life,The Fray,2024-11-25,2024-11-25 00:17:58.226000-05:00,2024-11-25 10:47:58.226000+05:30,2024-11-25T05:17:58.226Z,"neo mellow, piano rock, pop, pop rock",262.533
Blue,BIGBANG,2024-11-27,2024-11-26 20:32:02.134000-05:00,2024-11-27 07:02:02.134000+05:30,2024-11-27T01:32:02.134Z,"k-pop, k-pop boy group",233.098
11:11,TAEYEON,2024-11-27,2024-11-26 20:39:06.884000-05:00,2024-11-27 07:09:06.884000+05:30,2024-11-27T01:39:06.884Z,k-pop,223.451
"Yennai Maatrum Kadhale (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,2024-11-27,2024-11-27 16:06:17.477000-05:00,2024-11-28 02:36:17.477000+05:30,2024-11-27T21:06:17.477Z,"desi hip hop, filmi, tamil hip hop",274.678
