track,artist,date,est_time,ist_time,iso_time,genre,length_ms
Bags,Clairo,2025-01-13,2025-01-13 18:19:22.870000-05:00,2025-01-14 04:49:22.870000+05:30,2025-01-13T23:19:22.870Z,"bedroom pop, indie pop, pov: indie",260.519
Close To You,Gracie Abrams,2025-01-13,2025-01-13 18:22:00.330000-05:00,2025-01-14 04:52:00.330000+05:30,2025-01-13T23:22:00.330Z,alt z,225.973
Close To You,Gracie Abrams,2025-01-14,2025-01-13 23:18:22.848000-05:00,2025-01-14 09:48:22.848000+05:30,2025-01-14T04:18:22.848Z,alt z,225.973
What Have They Done To Us (from the series Arcane League of Legends),"Arcane, Mako, Grey",2025-01-14,2025-01-13 23:20:22.485000-05:00,2025-01-14 09:50:22.485000+05:30,2025-01-14T04:20:22.485Z,,119.16
ABCD,NAYEON,2025-01-14,2025-01-13 23:23:05.825000-05:00,2025-01-14 09:53:05.825000+05:30,2025-01-14T04:23:05.825Z,k-pop,162.84
Igloo,KISS OF LIFE,2025-01-14,2025-01-13 23:25:18.113000-05:00,2025-01-14 09:55:18.113000+05:30,2025-01-14T04:25:18.113Z,"5th gen k-pop, k-pop girl group",131.786
That’s So True,Gracie Abrams,2025-01-14,2025-01-13 23:28:04.956000-05:00,2025-01-14 09:58:04.956000+05:30,2025-01-14T04:28:04.956Z,alt z,166.3
DRIP,BABYMONSTER,2025-01-14,2025-01-13 23:31:06.283000-05:00,2025-01-14 10:01:06.283000+05:30,2025-01-14T04:31:06.283Z,5th gen k-pop,180.845
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",2025-01-14,2025-01-13 23:33:34.762000-05:00,2025-01-14 10:03:34.762000+05:30,2025-01-14T04:33:34.762Z,,147.973
To My Youth,BOL4,2025-01-14,2025-01-13 23:37:17.962000-05:00,2025-01-14 10:07:17.962000+05:30,2025-01-14T04:37:17.962Z,k-pop,222.68
1-800-hot-n-fun,LE SSERAFIM,2025-01-14,2025-01-13 23:37:26.704000-05:00,2025-01-14 10:07:26.704000+05:30,2025-01-14T04:37:26.704Z,k-pop girl group,173.431
1-800-hot-n-fun,LE SSERAFIM,2025-01-14,2025-01-14 03:41:38.506000-05:00,2025-01-14 14:11:38.506000+05:30,2025-01-14T08:41:38.506Z,k-pop girl group,173.431
Choo Lo,The Local Train,2025-01-14,2025-01-14 03:45:32.598000-05:00,2025-01-14 14:15:32.598000+05:30,2025-01-14T08:45:32.598Z,"hindi indie, indian indie, indian rock, new delhi indie",233.63
Мало тебя,SEREBRO,2025-01-14,2025-01-14 17:36:06.346000-05:00,2025-01-15 04:06:06.346000+05:30,2025-01-14T22:36:06.346Z,russian pop,225.46
Bloom,BOL4,2025-01-14,2025-01-14 17:39:16.208000-05:00,2025-01-15 04:09:16.208000+05:30,2025-01-14T22:39:16.208Z,k-pop,189.335
Wind,Jung Seung Hwan,2025-01-14,2025-01-14 17:42:54.705000-05:00,2025-01-15 04:12:54.705000+05:30,2025-01-14T22:42:54.705Z,korean pop,217.989
This is Mine,LEE SEUNG YOON,2025-01-14,2025-01-14 17:46:15.506000-05:00,2025-01-15 04:16:15.506000+05:30,2025-01-14T22:46:15.506Z,korean singer-songwriter,200.307
Can You Hear My Heart,"Epik High, LeeHi",2025-01-14,2025-01-14 17:50:24.139000-05:00,2025-01-15 04:20:24.139000+05:30,2025-01-14T22:50:24.139Z,"k-pop, k-rap, korean old school hip hop",248.143
Dopamine - GISELLE Solo,aespa,2025-01-14,2025-01-14 17:53:38.761000-05:00,2025-01-15 04:23:38.761000+05:30,2025-01-14T22:53:38.761Z,k-pop girl group,194.093
